Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
141287823,141287823,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,502,0,0.002219
38044585,38044585,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,289,0,0.006205
66384380,66384380,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,288,0,0.006205
84918070,84918070,,1,0,1,1,0,1,0,0,0,0,0.00019,0,26,0.000721,0,51,0,0.025273
63646887,63646887,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,285,0,0.006205
stacy-hou,stacy-hou,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,284,0,0.006205
6613910,6613910,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,283,0,0.006205
40296024,40296024,,1,0,1,1,0,1,0,0,0,0,0.000053,0,49,0.000884,0,388,0,0.006205
44396522,44396522,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,195,0,0.042986
142177645,142177645,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,282,0,0.006205
48849875,48849875,,1,0,1,1,0,1,0,0,0,0,0.00289,0,52,0.000668,0,8,0,0.002219
jaimeerica,jaimeerica,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,281,0,0.006205
lily_3,lily_3,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,280,0,0.006205
121579323,121579323,,4,4,8,4,4,8,4,0.5,0.641667,6.666667,0,0,0,0.00442,1,156,0.666667,0.751249
144691759,144691759,,3,3,6,3,3,6,5,0.4,0.553333,0,0,0,0,0.003362,1,156,1,0.61364
122736540,122736540,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,194,0,0.042986
51419685,51419685,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,193,0,0.042986
ou9cfan,ou9cfan,,0,1,1,0,1,1,9,0.209474,0.230601,0,0,0,35,0.000646,0,649,0,0
nevernice,nevernice,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,274,0,0.006205
ricker,ricker,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,56,0.000646,42,650,0,0
vashfish,vashfish,,0,1,1,0,1,1,1,1,1,0,0,0,61,0.000646,47,652,0,0
yeejame,yeejame,,1,0,1,1,0,1,0,0,0,0,0,0,61,0.001196,47,651,0,0.002219
45725150,45725150,,1,0,1,1,0,1,0,0,0,0,0.003483,0,41,0.000658,0,77,0,0.01763
he-xi,he-xi,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,273,0,0.006205
nshen121,nshen121,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,272,0,0.006205
72145072,72145072,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,271,0,0.006205
58825123,58825123,,2,0,2,2,0,2,0,0,0,0,0.000588,0,53,0.001208,0,475,0,0.006772
cybrg,cybrg,,0,2,2,0,2,2,1,1,1,0,0,0.007123,53,0.000646,0,653,0,0
71865681,71865681,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,270,0,0.006205
4074535,4074535,,0,1,1,0,1,1,1,1,1,0,0,0,62,0.000646,48,655,0,0
65085648,65085648,,1,0,1,1,0,1,0,0,0,0,0,0,62,0.001196,48,654,0,0.002219
Amanda-Z,Amanda-Z,,2,0,2,2,0,2,0,0,0,0,0.085742,0,50,0.000664,0,269,0,0.008425
35908220,35908220,,4,0,4,4,0,4,0,0,0,0,0.006496,0,41,0.001242,0,7,0.083333,0.03742
50413289,50413289,,3,0,3,3,0,3,0,0,0,0,0.086847,0,7,0.000775,0,29,0.333333,0.033555
2122074,2122074,,1,0,1,1,0,1,0,0,0,0,0,0,53,0.000933,0,470,0,0.004552
15035026,15035026,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,268,0,0.006205
42487679,42487679,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,267,0,0.006205
qqforeverqueen,qqforeverqueen,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,192,0,0.042986
SantripM,SantripM,,1,0,1,1,0,1,0,0,0,0,0.003483,0,41,0.000658,0,76,0,0.01763
68588893,68588893,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,266,0,0.006205
127692949,127692949,,1,1,2,1,1,2,1,1,1,0,0,0,63,0.004308,49,656,0,0.006205
1250672,1250672,,1,1,2,1,1,2,1,1,1,0,0,0,63,0.004308,49,656,0,0.006205
berryboo,berryboo,,1,0,1,1,0,1,0,0,0,0,0.002186,0,15,0.000702,0,28,0,0.021144
naryao,naryao,,1,0,1,1,0,1,0,0,0,0,0.001875,0,35,0.000725,0,568,0,0.004552
61861380,61861380,,1,0,1,1,0,1,0,0,0,0,0.000233,0,49,0.000765,0,393,0,0.010691
RATATKAIQI,RATATKAIQI,,1,0,1,1,0,1,0,0,0,0,0,0,43,0.00083,34,599,0,0.002219
hellozhaoyue,hellozhaoyue,,3,0,3,3,0,3,0,0,0,0,0.004761,0,19,0.001027,0,390,0,0.012404
fanrky,fanrky,,0,1,1,0,1,1,1,1,1,0,0,0,64,0.000646,50,658,0,0
130658738,130658738,,1,0,1,1,0,1,0,0,0,0,0,0,64,0.001196,50,657,0,0.002219
44651599,44651599,,1,0,1,1,0,1,0,0,0,0,0.000038,0,52,0.000784,0,625,0,0.002219
90745367,90745367,,2,0,2,2,0,2,0,0,0,0,0.002909,0,52,0.001217,0,6,0,0.004439
rocchow,rocchow,,0,1,1,0,1,1,1,1,1,0,0,0.000238,52,0.000646,0,659,0,0
62665475,62665475,,2,0,2,2,0,2,0,0,0,0,0.004594,0,26,0.000882,0,40,0,0.011801
znte,znte,,6,0,6,6,0,6,0,0,0,0,0.001833,0,33,0.002687,0,105,0.066667,0.047907
denee,denee,,1,1,2,1,1,2,1,1,1,0,0.000056,0.00015,33,0.00078,0,621,0.5,0.004552
beihuiguixian92,beihuiguixian92,,2,0,2,2,0,2,0,0,0,0,0.000602,0,27,0.001001,0,458,0,0.019623
53095027,53095027,,0,1,1,0,1,1,1,1,1,0,0,0,65,0.000646,51,661,0,0
70069884,70069884,,1,0,1,1,0,1,0,0,0,0,0,0,65,0.001196,51,660,0,0.002219
findingsea_ly,findingsea_ly,,1,1,2,1,1,2,1,1,1,0,0,0,66,0.004308,52,662,0,0.006205
63280608,63280608,,1,1,2,1,1,2,1,1,1,0,0,0,66,0.004308,52,662,0,0.006205
66544913,66544913,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,501,0,0.002219
148708277,148708277,,2,0,2,2,0,2,0,0,0,0,0.000006,0,20,0.00096,0,406,0,0.004439
135515549,135515549,,1,0,1,1,0,1,0,0,0,0,0.00001,0,27,0.000715,0,457,0,0.002219
cullerrrrchen,cullerrrrchen,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,500,0,0.002219
szlbanxia,szlbanxia,,3,0,3,3,0,3,0,0,0,0,0.085814,0,7,0.00083,0,265,0.5,0.018616
MissPrissy,MissPrissy,,1,0,1,1,0,1,0,0,0,0,0.000833,0,49,0.000728,0,173,0,0.025885
3506811,3506811,,1,0,1,1,0,1,0,0,0,0,0.002186,0,15,0.000702,0,27,0,0.021144
140092570,140092570,,2,0,2,2,0,2,0,0,0,0,0.001124,0,33,0.000794,0,104,0,0.017571
122050893,122050893,,1,0,1,1,0,1,0,0,0,0,0.001068,0,33,0.000661,0,103,0,0.013018
linlincheers,linlincheers,,1,0,1,1,0,1,0,0,0,0,0.003483,0,41,0.000658,0,75,0,0.01763
82724876,82724876,,2,0,2,2,0,2,0,0,0,0,0.000769,0,27,0.000746,0,337,0,0.008425
amigniox,amigniox,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,191,0,0.042986
63266047,63266047,,1,0,1,1,0,1,0,0,0,0,0.00289,0,52,0.000668,0,5,0,0.002219
iscarecrow,iscarecrow,,1,0,1,1,0,1,0,0,0,0,0.000057,0,21,0.000886,0,532,0,0.01255
2246846,2246846,,1,0,1,1,0,1,0,0,0,0,0.00019,0,26,0.000721,0,48,0,0.025273
plkeke,plkeke,,1,1,2,1,1,2,1,1,1,2,0.081181,0,7,0.000651,0,264,0,0.006205
cocoon__d,cocoon__d,,2,0,2,2,0,2,0,0,0,0,0.081783,0,22,0.00096,0,171,0,0.020816
35739270,35739270,,1,0,1,1,0,1,0,0,0,0,0.00289,0,52,0.000668,0,4,0,0.002219
60406616,60406616,,1,0,1,1,0,1,0,0,0,0,0.000006,0,20,0.000686,0,405,0,0.002219
133871166,133871166,,1,0,1,1,0,1,0,0,0,0,0.000831,0,22,0.000727,0,168,0,0.035772
126621481,126621481,,1,0,1,1,0,1,0,0,0,0,0.002186,0,15,0.000702,0,26,0,0.021144
puppysora,puppysora,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,497,0,0.002219
pkuno,pkuno,,0,1,1,0,1,1,1,1,1,0,0,0.000595,49,0.000646,0,663,0,0
sleepwalk,sleepwalk,,2,0,2,2,0,2,0,0,0,0,0.007258,0,49,0.001218,0,190,0,0.045206
43903711,43903711,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,262,0,0.006205
63176913,63176913,,1,1,2,1,1,2,1,1,1,0,0,0,67,0.004308,53,664,0,0.006205
29616271,29616271,,1,1,2,1,1,2,1,1,1,0,0,0,67,0.004308,53,664,0,0.006205
Mflower,Mflower,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,261,0,0.006205
huoxu_meng,huoxu_meng,,1,0,1,1,0,1,0,0,0,0,0.000084,0,53,0.000921,0,604,0,0.002219
p2pp,p2pp,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,260,0,0.006205
feizi828,feizi828,,1,0,1,1,0,1,0,0,0,0,0.003483,0,41,0.000658,0,74,0,0.01763
shelley910920,shelley910920,,2,0,2,2,0,2,0,0,0,0,0.08194,0,27,0.000681,0,259,0.5,0.012411
60308661,60308661,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,258,0,0.006205
84610412,84610412,,2,0,2,2,0,2,0,0,0,0,0.000463,0,26,0.000746,0,47,0,0.027492
44048973,44048973,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,162,0,0.042986
nanaei1314,nanaei1314,,1,0,1,1,0,1,0,0,0,0,0.000676,0,33,0.000716,0,144,0,0.009032
vivian940725,vivian940725,,4,0,4,4,0,4,0,0,0,0,0.007409,0,21,0.001584,0,161,0,0.049644
Spikey,Spikey,,0,1,1,0,1,1,1,1,1,0,0,0.000607,21,0.000646,0,665,0,0
honeylu,honeylu,,1,0,1,1,0,1,0,0,0,0,0.00289,0,52,0.000668,0,3,0,0.002219
92838488,92838488,,1,0,1,1,0,1,0,0,0,0,0.00076,0,27,0.000677,0,336,0,0.006205
garymaycry,garymaycry,,0,1,1,0,1,1,1,1,1,0,0,0,68,0.000646,54,667,0,0
58175040,58175040,,1,0,1,1,0,1,0,0,0,0,0,0,68,0.001196,54,666,0,0.002219
LAURANOWHERE,LAURANOWHERE,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,257,0,0.006205
4339556,4339556,,1,0,1,1,0,1,0,0,0,0,0.00289,0,52,0.000668,0,2,0,0.002219
42311891,42311891,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,256,0,0.006205
52588688,52588688,,2,0,2,2,0,2,0,0,0,0,0.08407,0,52,0.000672,0,1,0,0.008425
1511035,1511035,,1,0,1,1,0,1,0,0,0,0,0.003483,0,41,0.000658,0,73,0,0.01763
62477374,62477374,,3,0,3,3,0,3,0,0,0,0,0.082925,0,33,0.000735,0,102,0.166667,0.028256
56571196,56571196,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,255,0,0.006205
cuckoosj,cuckoosj,,3,0,3,3,0,3,0,0,0,0,0.086325,0,53,0.000939,0,254,0,0.010644
supanya02,supanya02,,2,0,2,2,0,2,0,0,0,0,0.083366,0,15,0.000706,0,25,0,0.027349
48440561,48440561,,1,0,1,1,0,1,0,0,0,0,0,0,49,0.001334,0,87,0,0.016772
65985132,65985132,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,253,0,0.006205
qiqihhappy,qiqihhappy,,1,0,1,1,0,1,0,0,0,0,0.00289,0,52,0.000668,0,0,0,0.002219
58563930,58563930,,1,0,1,1,0,1,0,0,0,0,0.001068,0,33,0.000661,0,101,0,0.013018
2244215,2244215,,1,0,1,1,0,1,0,0,0,0,0.000929,0,53,0.000674,0,467,0,0.002219
vrush,vrush,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,252,0,0.006205
vulperz,vulperz,,1,0,1,1,0,1,0,0,0,0,0.001068,0,33,0.000661,0,100,0,0.013018
20001670,20001670,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,251,0,0.006205
150535538,150535538,,1,1,2,1,1,2,1,1,1,0,0,0,69,0.004308,55,668,0,0.006205
53220116,53220116,,1,1,2,1,1,2,1,1,1,0,0,0,69,0.004308,55,668,0,0.006205
lifepark,lifepark,,1,0,1,1,0,1,0,0,0,0,0.001068,0,33,0.000661,0,99,0,0.013018
tsdphilia,tsdphilia,,2,0,2,2,0,2,0,0,0,0,0.007399,0,26,0.000743,0,46,0,0.068259
hudali,hudali,,1,0,1,1,0,1,0,0,0,0,0.000274,0,26,0.000671,0,436,0,0.002219
46680020,46680020,,1,0,1,1,0,1,0,0,0,0,0.000116,0,19,0.000739,0,389,0,0.007966
82848537,82848537,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,496,0,0.002219
152432539,152432539,,1,1,2,1,1,2,5,0.277778,0.351667,0,0,0,0,0.00245,1,156,0,0.020664
92329236,92329236,,0,1,1,0,1,1,1,1,1,0,0,0,70,0.000646,56,670,0,0
86584992,86584992,,1,0,1,1,0,1,0,0,0,0,0,0,70,0.001196,56,669,0,0.002219
3941049,3941049,,2,0,2,2,0,2,0,0,0,0,0.010692,0,41,0.00068,0,72,0.5,0.060616
78470796,78470796,,1,1,2,1,1,2,1,1,1,0,0,0,71,0.004308,57,671,0,0.006205
102483922,102483922,,1,1,2,1,1,2,1,1,1,0,0,0,71,0.004308,57,671,0,0.006205
2896151,2896151,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,160,0,0.042986
141566878,141566878,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,495,0,0.002219
littleec,littleec,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,250,0,0.006205
120679276,120679276,,2,0,2,2,0,2,0,0,0,0,0.001744,0,33,0.000731,0,98,0,0.022051
2438543,2438543,,1,0,1,1,0,1,0,0,0,0,0,0,7,0.001199,0,263,0,0.006205
27744141,27744141,,2,0,2,2,0,2,0,0,0,0,0.001301,0,49,0.000779,0,97,0,0.023709
x_echo,x_echo,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,159,0,0.042986
48791919,48791919,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,249,0,0.006205
137185586,137185586,,1,0,1,1,0,1,0,0,0,0,0.002186,0,15,0.000702,0,24,0,0.021144
145700061,145700061,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,494,0,0.002219
hututu429,hututu429,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,493,0,0.002219
80570664,80570664,,1,0,1,1,0,1,0,0,0,0,0.00076,0,27,0.000677,0,333,0,0.006205
141526513,141526513,,1,0,1,1,0,1,0,0,0,0,0.001068,0,33,0.000661,0,96,0,0.013018
124848153,124848153,,1,0,1,1,0,1,0,0,0,0,0.000006,0,20,0.000686,0,404,0,0.002219
58797190,58797190,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,248,0,0.006205
63652853,63652853,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,247,0,0.006205
143199848,143199848,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,492,0,0.002219
71905731,71905731,,1,0,1,1,0,1,0,0,0,0,0.001152,0,7,0.000757,0,275,0,0.006205
1021139,1021139,,1,0,1,1,0,1,0,0,0,0,0.002186,0,15,0.000702,0,23,0,0.021144
4891594,4891594,,1,0,1,1,0,1,0,0,0,0,0.00076,0,27,0.000677,0,332,0,0.006205
57941793,57941793,,1,0,1,1,0,1,0,0,0,0,0.002186,0,15,0.000702,0,22,0,0.021144
umi-kumo,umi-kumo,,1,0,1,1,0,1,0,0,0,0,0.00076,0,27,0.000677,0,331,0,0.006205
69479460,69479460,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,491,0,0.002219
34699714,34699714,,0,1,1,0,1,1,1,1,1,0,0,0,72,0.000646,58,673,0,0
14369952,14369952,,1,0,1,1,0,1,0,0,0,0,0,0,72,0.001196,58,672,0,0.002219
68877251,68877251,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,490,0,0.002219
31575703,31575703,,1,0,1,1,0,1,0,0,0,0,0.000006,0,20,0.000686,0,403,0,0.002219
orange_tt,orange_tt,,0,1,1,0,1,1,1,1,1,0,0,0,73,0.000646,59,675,0,0
3974198,3974198,,1,0,1,1,0,1,0,0,0,0,0,0,73,0.001196,59,674,0,0.002219
zhengtaochang,zhengtaochang,,1,0,1,1,0,1,0,0,0,0,0.002186,0,15,0.000702,0,21,0,0.021144
cloudstyle,cloudstyle,,4,0,4,4,0,4,0,0,0,0,0.085869,0,35,0.000921,0,20,0,0.034121
59198180,59198180,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,244,0,0.006205
57954109,57954109,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,241,0,0.006205
yuxiaorui,yuxiaorui,,0,1,1,0,1,1,1,1,1,0,0,0.000303,26,0.000646,0,676,0,0
68894222,68894222,,3,0,3,3,0,3,0,0,0,0,0.003697,0,26,0.001283,0,43,0,0.045122
stephanielv,stephanielv,,1,0,1,1,0,1,0,0,0,0,0.000274,0,26,0.000671,0,435,0,0.002219
88217804,88217804,,0,1,1,0,1,1,1,1,1,0,0,0,74,0.000646,60,678,0,0
154298852,154298852,,1,0,1,1,0,1,0,0,0,0,0,0,74,0.001196,60,677,0,0.002219
leepenng,leepenng,,1,0,1,1,0,1,0,0,0,0,0.003483,0,41,0.000658,0,71,0,0.01763
OrangeKing,OrangeKing,,1,0,1,1,0,1,0,0,0,0,0,0,26,0.001923,0,44,0,0.010104
62982311,62982311,,2,0,2,2,0,2,0,0,0,0,0.085742,0,50,0.000664,0,240,0,0.008425
96666360,96666360,,1,0,1,1,0,1,0,0,0,0,0.001068,0,33,0.000661,0,95,0,0.013018
40973378,40973378,,1,0,1,1,0,1,0,0,0,0,0,0,38,0.000921,30,580,0,0.002219
139886373,139886373,,2,0,2,2,0,2,0,0,0,0,0.08211,0,53,0.000678,0,239,0,0.008425
sylvansea,sylvansea,,1,0,1,1,0,1,0,0,0,0,0.000006,0,22,0.00083,0,550,0,0.002219
119936602,119936602,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,238,0,0.006205
47537834,47537834,,1,0,1,1,0,1,0,0,0,0,0.00076,0,27,0.000677,0,330,0,0.006205
amber_L,amber_L,,3,1,4,3,1,4,1,1,1,17,0.007492,0,49,0.004814,0,158,0,0.06684
darwin0618,darwin0618,,1,1,2,1,1,2,1,1,1,0,0,0.000614,49,0.004738,0,158,0,0.029042
46914336,46914336,,1,1,2,1,1,2,1,1,1,0,0,0,75,0.004308,61,679,0,0.006205
DaisyQian,DaisyQian,,1,1,2,1,1,2,1,1,1,0,0,0,75,0.004308,61,679,0,0.006205
61420594,61420594,,0,1,1,0,1,1,1,1,1,0,0,0,76,0.000646,62,681,0,0
143722162,143722162,,1,0,1,1,0,1,0,0,0,0,0,0,76,0.001196,62,680,0,0.002219
81481225,81481225,,1,0,1,1,0,1,0,0,0,0,0.000833,0,49,0.000728,0,172,0,0.025885
innocent_sin,innocent_sin,,1,0,1,1,0,1,0,0,0,0,0.000044,0,41,0.000929,0,374,0,0.008538
47720270,47720270,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,157,0,0.042986
121622673,121622673,,1,0,1,1,0,1,0,0,0,0,0.000002,0,26,0.000784,0,429,0,0.002219
lanyangyangdecc,lanyangyangdecc,,4,0,4,4,0,4,0,0,0,0,0.003978,0,26,0.001065,0,39,0.083333,0.057559
edwin41,edwin41,,1,0,1,1,0,1,0,0,0,0,0.001875,0,35,0.000725,0,567,0,0.004552
54857793,54857793,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,237,0,0.006205
bianlun,bianlun,,1,0,1,1,0,1,0,0,0,0,0.000274,0,26,0.000671,0,434,0,0.002219
134744380,134744380,,1,0,1,1,0,1,0,0,0,0,0.000929,0,53,0.000674,0,466,0,0.002219
66715908,66715908,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,236,0,0.006205
134204098,134204098,,1,0,1,1,0,1,0,0,0,0,0.000004,0,53,0.000933,0,474,0,0.004552
152920881,152920881,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,489,0,0.002219
3860022,3860022,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,235,0,0.006205
Danron,Danron,,1,1,2,1,1,2,0,0,0,0,0,0,77,0.000646,63,682,0,0.006205
